iter	Passed	Remaining
156	88500	108793
157	88974	108120
158	89444	107446
159	89866	106716
160	90391	106111
161	90915	105506
162	91401	104859
163	91795	104109
164	92254	103437
165	92665	102713
166	93193	102122
167	93729	101539
168	94202	100891
169	94632	100199
170	95087	99536
171	95555	98888
172	96139	98362
173	96631	97741
174	97143	97143
175	97650	96541
176	97980	95766
177	98406	95089
178	98815	94399
179	99116	93609
180	99586	92983
181	100055	92359
182	100476	91691
183	100954	91078
184	101365	90407
185	101816	89773
186	102331	89198
187	102786	88571
188	103250	87953
189	103649	87283
190	104088	86649
191	104545	86032
192	105027	85436
193	105415	84767
194	105883	84164
195	106314	83532
196	106774	82926
197	107220	82310
198	107596	81643
199	107918	80938
200	108352	80320
201	108824	79732
202	109298	79147
203	109806	78587
204	110309	78024
205	110792	77447
206	111475	77009
207	112016	76472
208	112498	75895
209	112965	75310
210	113397	74702
211	113706	74016
212	114202	73453
213	114738	72918
214	115054	72243
215	115402	71592
216	115824	70989
217	116248	70389
218	116657	69781
219	117127	69211
220	117591	68639
221	117967	68017
222	118413	67437
223	118874	66866
224	119317	66287
225	119800	65731
226	120250	65157
227	120656	64561
228	120993	63930
229	121492	63387
230	121953	62824
231	122371	62240
232	122704	61615
233	123155	61051
234	123582	60476
235	124102	59947
236	124571	59394
237	124986	58817
238	125468	58272
239	125926	57716
240	126344	57143
241	126845	56608
242	127318	56061
243	127776	55509
244	128213	54948
245	128682	54402
246	129147	53855
247	129644	53321
248	130132	52784
249	130619	52247
250	131094	51706
251	131505	51141
252	131982	50602
253	132423	50049
254	132824	49483
255	133155	48893
256	133601	48345
257	134077	47810
258	134498	47256
259	134988	46726
260	135468	46194
261	135875	45637
262	136355	45106
263	136777	44556
264	137184	44002
265	137670	43474
266	138157	42947
267	138580	42401
268	138980	41849
269	139447	41317
270	139905	40784
271	140334	40243
272	140791	39710
273	141159	39153
274	141479	38585
275	141904	38046
276	142282	37496
277	142674	36951
278	143163	36432
279	143646	35911
280	144048	35371
281	144381	34815
282	144892	34303
283	145370	33783
284	145845	33263
285	146338	32747
286	146751	32213
287	147233	31696
288	147720	31179
289	148222	30666
290	148714	30151
291	149216	29638
292	149668	29116
293	150030	28577
294	150561	28070
295	151064	27559
296	151563	27046
297	152087	26538
298	152470	26006
299	152909	25484
300	153311	24957
301	153876	24457
302	154346	23941
303	154939	23444
304	155566	22952
305	155887	22415
306	156469	21915
307	157043	21415
308	157835	20942
309	158595	20463
310	159082	19949
311	159522	19429
312	159989	18912
313	160439	18394
314	160753	17861
315	161270	17351
316	161766	16840
317	162225	16324
318	162550	15796
319	163051	15286
320	163524	14773
321	163984	14259
322	164433	13745
323	164911	13233
324	165377	12721
325	165876	12211
326	166327	11698
327	166868	11192
328	167347	10681
329	167802	10169
330	168250	9657
331	168755	9149
332	169203	8637
333	169672	8128
334	170101	7616
335	170586	7107
336	170981	6595
337	171436	6086
338	171874	5577
339	172333	5068
340	173085	4568
341	173853	4066
342	174711	3565
343	175185	3055
344	175675	2546
345	176135	2036
346	176577	1526
347	177023	1017
348	177530	508
349	178008	0
