iter	Logloss
163	0.3453858527
164	0.345370153
165	0.3453471256
166	0.3453106571
167	0.3452762173
168	0.3452489135
169	0.3452400247
170	0.3452269324
171	0.3451973123
172	0.345135975
173	0.3451195997
174	0.3451077664
175	0.3450576387
176	0.3450259813
177	0.3450086861
178	0.3449702875
179	0.3449599954
180	0.3449430802
181	0.3449283971
182	0.3449132914
183	0.3449008984
184	0.3448866652
185	0.3448731786
186	0.3448558026
187	0.3448452183
188	0.3448341707
189	0.3448079813
190	0.3447821395
191	0.3447712656
192	0.3447582538
193	0.3447386021
194	0.3447065371
195	0.3446988142
196	0.3446885751
197	0.3446711419
198	0.3446615176
199	0.3446338022
200	0.3446220734
201	0.3445984123
202	0.3445881936
203	0.3445716417
204	0.3445646737
205	0.3445527627
206	0.344533302
207	0.3445223887
208	0.3445151607
209	0.3444937725
210	0.3444637675
211	0.3444525184
212	0.3444408225
213	0.344429627
214	0.344414206
215	0.3444063873
216	0.3443845889
217	0.3443676784
218	0.3443564924
219	0.3443477079
220	0.3443354149
221	0.344325299
222	0.3443095107
223	0.3442945145
224	0.34428414
225	0.3442668402
226	0.3442588479
227	0.3442449705
228	0.3441886151
229	0.3441752901
230	0.344155303
231	0.3441484648
232	0.3441380095
233	0.3441284267
234	0.3441113136
235	0.3441046474
236	0.3440895341
237	0.3440732102
238	0.3440409466
239	0.3440284584
240	0.3440189396
241	0.3439846127
242	0.3439652177
243	0.3439586604
244	0.3439486007
245	0.3439358101
246	0.3439268486
247	0.3439173465
248	0.3438939564
249	0.343884367
250	0.3438724823
251	0.343861976
252	0.3438506302
253	0.3438272581
254	0.3437901131
255	0.3437713183
256	0.3437619965
257	0.343755633
258	0.3437465521
259	0.3437164598
260	0.3436963444
261	0.3436866569
262	0.3436720215
263	0.3436452866
264	0.3436304707
265	0.343624013
266	0.34361666
267	0.3436080508
268	0.3435982618
269	0.3435857485
270	0.3435806571
271	0.3435741661
272	0.3435635129
273	0.3435349804
274	0.34352622
275	0.3435135086
276	0.3435068308
277	0.3434958081
278	0.3434890848
279	0.3434680204
280	0.3434457636
281	0.3434400536
282	0.3434273066
283	0.3434172948
284	0.3434066735
285	0.3434018715
286	0.3433905461
287	0.3433850297
288	0.3433775545
289	0.3433574072
290	0.3433399874
291	0.3433281688
292	0.3433159855
293	0.3433057701
294	0.3432979041
295	0.3432872936
296	0.3432726584
297	0.3432643567
298	0.3432566256
299	0.3432505843
300	0.3432428613
301	0.3432307482
302	0.3432223953
303	0.3432145744
304	0.3432053377
305	0.343198767
306	0.3431858834
307	0.3431759258
308	0.3431681276
309	0.3431524416
310	0.343145654
311	0.3431379128
312	0.343126933
313	0.3431071685
314	0.3430983582
315	0.3430905259
316	0.3430739096
317	0.3430669537
318	0.3430512204
319	0.3430424035
320	0.343030779
321	0.3430248436
322	0.3430181903
323	0.3430076158
324	0.3430000605
325	0.3429950204
326	0.3429839114
327	0.3429748151
328	0.3429613137
329	0.3429535083
330	0.3429427609
331	0.34293535
332	0.3429285474
333	0.3429160427
334	0.342908877
335	0.3429015402
336	0.3428858576
337	0.3428778788
338	0.3428715695
339	0.3428616032
340	0.3428529275
341	0.3428438458
342	0.3428334707
343	0.3428264037
344	0.3428113273
345	0.3428016656
346	0.3427938407
347	0.3427897061
348	0.3427827136
349	0.3427769823
